Individual,Score
tahmed-dev,663.1
mannytaheri,201.4
Hedgehog-Guru,182.25
jsanghra,180
jostar-yang,178.4
tcusto,170
zzhiyuan,155.95
zhoudongxu,147.9
antony-rheneus,134.6
ANISH-GOTTAPU,123.5
pkochmanska,121.3
byu343,121.25
sihuihan88,121.1
vboykox,110.8
x-junyi,106.8
bratashX,106.5
kamalsahu0001,97
shine4chen,89.65
pra-moh,87.85
simonJi2018,85.75
vasant17,85.65
bocon13,85.1
paavaanan,72.85
padmanarayana,71.85
abanu-ms,64.75
vharish02,64.2
rraguraj,61
mmysle,60
bluecmd,59.75
ravi861,59.6
brandonchuang,59
MariuszStachura,57
nikos-github,55.65
tonytitus,51.95
Sabareesh-Kumar-Anandan,50
MaxYaremchuk,49.5
tylerlinp,49.05
kmalek-priv,45
ustachowiak,45
seiferteric,44.95
abhijit-dhar,44
phshaikh,43.5
dereksun01,43
mdivyamohan,40.5
svelamal,39
macikgozwa,38.65
dmytroxshevchuk,38
tarakreddy1984,37.75
msiddare,37.5
FunForNOS,36
RogerX87,36
globaltrouble,35.3
Cosmin-Jinga-MS,35
erohsik,35
xinyulin,34.05
taocy001,34
abhiranjeet,33.75
gollarharsha,33.75
mlorrillere,33.7
SidharajU,33.45
jonathantsai-qci,33
shyam77git,32.45
kv-y,32.4
dawnbeauty,31.6
nazeerhussainf,31.5
eswaranb,31.2
NazarTkachuk,30
isgmano,30
zhanggongc,30
sojindal,29
roberthong-qct,28.6
minionatwork,27.55
madhava28,27.25
arvbb,27
joyas-joseph,26.4
hans-tseng,26
GarrickHe,25.5
mkbalani,25.45
aganguly-keysight,25
miheot,25
BaluAlluru,24
William-zx,24
henzelis,24
BrynXu,23.4
dev-aviz,23
aseaudi,22.5
zhengbiqing,22.5
alpeshspatel,21.15
KostiantynYarovyiBf,21
tbgowda,21
ziverlichson,21
AntheaJiang,20.25
pyuvarajan,20
UmaMaven,19.5
guking3,19.5
irene-pan1202,19.5
ncalad,18.75
sanjair-git,18.6
gregshpit,18.5
stanepc1,18.5
bacrossland,18.3
StanleyCi,18
michealylj1,18
wbschwar,17.7
juntseng62,17.5
rbpittman,17.4
119064273,16.75
Ezrickd,16.7
bbinxie,16.5
shri-khare,16.35
thaj-deen,16.25
uraghura,15.75
richard28530,15.35
leoli-nps,15.15
mfriyas,15.15
pyadvichuk,15.15
FSSec,15
SanjayTh,15
andriydnvd,15
budgrise,15
haslersn,15
JohnsonYJLu,14.5
fillmorechen0928,14.5
klhaung,14.5
jaganbal-a,14.1
andrii-savka,13.5
nicwu-cel,13.5
jmmikkel,13
mipxman,12.75
pjeyarat,12.75
steven-guo-ec,12.5
tiantianlv,12.5
linalvin,12.3
WistronNetwork,12
dinosn,12
dlringor,12
sampad1996,12
songqh2022,12
sureshsekar28,12
dipalipatel25,11.4
slogan621,11.4
TyagiShailesh,11.25
mbze430,11.25
shall1024,11.25
CLUDev,11
donboll,10.45
OlaOliynyk,10.4
CynthiaINV,10
bpar9,10
cawand,10
fredyu190011,10
jjangmua,10
srikrishnagopu,10
xjasonlyu,10
zoe-kuan,10
batmancn,9.7
amitabhja,9.5
cpchangtw,9.5
BasimShalata,9.25
Rancho333,9
andriidovhan,9
aslam-man,9
chiranjeevi-07,9
copyandrun,9
ixodie,9
tadams-msft,9
veber-alex,9
apogedik,8.5
rsunkad,8
ITJamie,7.8
rameshsanth,7.55
InventecJamesHuang,7.5
JohnFanDNI,7.5
NStetskovych-zz,7.5
TzvikNVDA,7.5
aledwmorris,7.5
david-xk,7.5
dduttman,7.5
dependabot,7.5
hari-selvam,7.5
jeffchen1988,7.5
joej164,7.5
qnos,7.5
tw0byt3,7.5
vincent201881,7.5
vpsubramaniam,7.5
zebracrowd,7.5
rajendrat,7.2
YonatanPitz,7.1
nealtai,7
atitjain,6.95
Russell123987,6.75
bahirul,6.75
chaichairiko,6.75
muhammad51,6.75
aaronpayment,6.6
jasmeetbagga,6.5
jemifdo,6.5
AfraMariyam,6
ArthiGovindaraj,6
JaredLius,6
JiangboHe,6
LimorAmit,6
ansrajpu-git,6
cel-taylor,6
davidfordouce,6
duhbbx,6
harshitgulati18,6
manjuv1,6
prasanna-cls,6
rskorka,6
siddegowda1,6
vivekvijaykumar,6
vsrivastav78,6
willieken559099,6
xiaodaoaa,6
garigipati31,5.75
jerseyang,5.5
mad4321,5.5
sdddean,5.5
vivekmoorthy,5.5
ragu-raman,5.4
myronsosyak,5.3
Harrison-SH,5.25
Rajpratik71,5
delta46101,5
dr412113,5
sholeksandr,5
staneshieh,5
Str1ker17,4.7
DhinakaranDayalan,4.65
AStrangwood,4.5
GAcharyaIndia,4.5
JSpewock,4.5
Japanavt,4.5
OTaoZh,4.5
SudharshanSuresh,4.5
SviatoslavNastasiak,4.5
YanChii,4.5
Zmegolaz,4.5
abudaoweng,4.5
adamx-xk,4.5
ajuse,4.5
appleCh,4.5
ashwin-h,4.5
aslam4g,4.5
bigwboy,4.5
brianlin-ec,4.5
bsbsrkg,4.5
chihhan123,4.5
coolkidBigEye,4.5
dcantunes123,4.5
feanis,4.5
florath,4.5
galdem6,4.5
gavinht21,4.5
guangjung,4.5
iancote,4.5
inspurTW,4.5
jSML4ThWwBID69YC,4.5
jboomer,4.5
johcheun,4.5
laiguoliang-lyr,4.5
mohannai,4.5
nand0104,4.5
netmanyys,4.5
ntoorchi,4.5
oplklum,4.5
perry1106,4.5
ranjekum,4.5
richmondstacey,4.5
salvadorb,4.5
shinoharakazuya,4.5
sif7en,4.5
songlinglingpml,4.5
tobzsc,4.5
toggit,4.5
vidhya-rajan,4.5
zouzhao6,4.5
twtseng-tim,4.3
JafarSeyedi,4.25
amar304,4.05
chenpiaoping,4
hpersh,4
nirenjan,4
shilimkarvg,4
v-wfarris,4
vemulabalaji,3.85
Ariadw,3.75
CNM777,3.75
Jarvx,3.75
Komil-yc,3.75
NoySa,3.75
PRAVEEN-BABY,3.75
Prashankalikotayt,3.75
Tsingsoon,3.75
allanstreib,3.75
cpackham-atlnz,3.75
ezware,3.75
fire-ant,3.75
gck-04,3.75
gukunqing,3.75
jhujhiti,3.75
joyantamishu,3.75
kidoflamancha,3.75
ksubashh,3.75
kwang789,3.75
lgbin879,3.75
mahdiniya5252,3.75
mpfau,3.75
mtchhor,3.75
nishi4321,3.75
rudubey,3.75
shaukathsathar,3.75
slrflr,3.75
ushax,3.75
zhuangjh3,3.75
tanpinsiang,3.4
DeepanSaha,3
Deva-N,3
DukeOwlington,3
HelenHZhang,3
Linda5067,3
Liran-Ar,3
MaksymPry,3
alanC-Cameo,3
andrewimeson,3
arn-alt,3
babu-s2,3
bwebb94,3
daddiaz,3
dmukun,3
dpetryshintl,3
dungru,3
kattamamatha,3
kumarph,3
lockless,3
madhupalu,3
maq123,3
mdak1909,3
mgrzybowski,3
michael-bu,3
mkjprior,3
mthatty,3
pavannaregundi,3
pawmas,3
peggy-chu,3
roger530-ho,3
saikrishnagajula,3
serhepopovych,3
sowri1,3
taras-keryk,3
vijayvyasm,3
wjf1993,3
FMusatescu,2.5
Quanta-Switch,2.5
aystarik,2.5
dkourkouzelis,2.5
dpronin,2.5
elvistsai,2.5
emilmih,2.5
haowei1122,2.5
CnaZhao,2.25
hustleige2003,2.25
jianjundong,2.25
jmzou,2.25
justin-lu-lyc,2.25
shihdada,2.25
cony7642,2.15
Anandaraj-Maharajan,2.1
deni64k,2.1
SinghMinu,2
YaoTien,2
borys-karpliak,2
gracelicd,2
hanstseng,2
icchau,2
jackyjs,2
rdarbha,2
shawnli-van,2
shawnxli,2
vkuma82,2
pcamaril,1.75
SAI-shared-user,1.7
jackyjsliu,1.6
jcmathews,1.6
MickeyZhan,1.5
Mrak-IW,1.5
VitalySav,1.5
cijurajan,1.5
doicom,1.5
lyndonsiao,1.5
muindurk,1.5
phx420,1.5
randygaulmsft,1.5
ryanmusic,1.5
sslvjun,1.5
txj36,1.5
zhuiwang,1.5
sgurram,1.2
MaxPolovyi,1
OPetryshyn,1
Sandeepsr,1
SolankiTrignesh,1
dsatterw,1
eiendragon,1
manish-volansys,1
tientienle,1
trignesh,1
zubinshah,1
Battier,0.9
paulnice,0.9
wangzhClounix,0.9
dipali0125,0.8
msreddypaluru,0.8
aruljeniston,0.75
sflow,0.75
imzyxwvu,0.65
BOT-NV,0.6
github-code-scanning,0.6
rpjain-nw,0.6
shivuv,0.6
vdahiya,0.6
svsivm,0.55
andriymoroz,0.5
jklare,0.5
motinisim,0.5
FLYFLYFL,0.45
hongrun007,0.45
Nazarii,0.4
StasTODD,0.4
dtallen97,0.4
navneeth2666,0.4
Blyschak,0.3
IGordynskyi,0.3
Pirunchy64,0.3
TomFletcher0,0.3
amaragra,0.3
elibritstein,0.3
hsincsu,0.3
jorenwu84,0.3
karthikarum,0.3
kuomarcel,0.3
nanteby,0.3
ritalhui,0.3
ylu7283,0.3
yurikvol,0.3
JohnSalloway,0.25
hesingh,0.25
konne88,0.25
rbone-mitre,0.25
ritahui,0.25
roweisch,0.25
sudurais,0.25
tarundeepsharma88,0.25
yintao1995,0.25
FaithRobben,0.2
JLevesque84,0.2
Mrvl-BenjaminHuang,0.2
dproc,0.2
idle-meerkat,0.2
krambn,0.2
praveen5582,0.2
ruferp,0.2
tjjh89017,0.2
winstonliu1111,0.2
zhaoxiaoke,0.2
Jipan-Yang,0.15
Walker917,0.15
fengyingling,0.15
fgggid,0.15
mnaberez,0.15
ritacxl,0.15
sflow-rt,0.15
springxucoder,0.15
tfangit,0.15
yinshuangshuang,0.15
asrivenk,0.1
digesh,0.1
satanninja,0.1
vikasksrivastava,0.1